Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото
 Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,avtohtonnoe-vino-kryma-beloe-suhoe,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp
 Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,avtohtonnoe-vino-kryma-beloe-suhoe,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp
" Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.
",Коммуналка,aligote-barrel-2024,DSC09173.webp
" Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.
",Коммуналка,aligote-barrel-2024,DSC09173.webp
 ЗБ вайн СПУМАНТЕ Брют белое,Белое,соломенный,Крым,Алиготе,"Изысканный букет цитрусовых, с легким нюансом аромата весенних цветов и белых фруктов. Элегантный, деликатный вкус с хорошо сбалансированной кислотностью.",Золотая Балка,zb-vajn-spumante-bryut-beloe,Спуманте белый брют.webp
100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135.webp
100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135.webp
100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-vyderzhannoe-135.webp
100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-vyderzhannoe-135.webp
100 оттенков красного. Саперави,Красное,Темно-рубиновый,Кубань,Саперави,"В аромате тона ежевики, черники, тёмной вишни, оттенки специй. Вкус насыщенный, сбалансированный, с бархатными танинами.",Фанагория,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14.webp
