Slug,Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Название фото,S3_Key,Signed_Image_URL,Sweetness,Body,Acidity,Oak,Aroma_Tags,Flavor_Tags,Pairings
avtohtonnoe-vino-kryma-beloe-suhoe,Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp,catalog/PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp,https://firsts3.ru/wine-hack/catalog/PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng%3D%3D.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=HMQJT3P5ln0H75QPA1xEtvX5EF8%3D&Expires=2105631332,1.2,2.2,3.8,1.3,"груша, абрикос, мед",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
aligote-barrel-2024,"Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.",Коммуналка,DSC_09173_4a9ff95cc2.webp,catalog/DSC_09173_4a9ff95cc2.webp,https://firsts3.ru/wine-hack/catalog/DSC_09173_4a9ff95cc2.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=MQooGUzL18dDa5dRhZ6aUvSQSv0%3D&Expires=2105631332,1.2,2.2,4.5,1.3,"персик, абрикос, акация, минералы",минералы,Морепродукты: Свежие черноморские устрицы и гребешки; Рыба: Сибас или дорадо на гриле с травами
zb-vajn-spumante-bryut-beloe,ЗБ вайн СПУМАНТЕ Брют белое,Белое,соломенный,Крым,Алиготе,"Изысканный букет цитрусовых, с легким нюансом аромата весенних цветов и белых фруктов. Элегантный, деликатный вкус с хорошо сбалансированной кислотностью.",Золотая Балка,Спуманте белый брют.webp,catalog/Спуманте белый брют.webp,https://firsts3.ru/wine-hack/catalog/%D0%A1%D0%BF%D1%83%D0%BC%D0%B0%D0%BD%D1%82%D0%B5%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9%20%D0%B1%D1%80%D1%8E%D1%82.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=2mX6DX375Yww47ouK68pkurWQUE%3D&Expires=2105631332,1.2,2.2,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya_100_ottenkov_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_135_ad8495191f.webp,catalog/fanagoriya_100_ottenkov_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_135_ad8495191f.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_100_ottenkov_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_135_ad8495191f.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=udPbf1%2FWCbuaI2jvOtGCJYNBAWs%3D&Expires=2105631332,1.2,4.0,3.0,2.5,вишня,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya_100_ottenkov_krasnogo_pino_nuar_krasnoe_suhoe_vyderzhannoe_135_12baf813ea.webp,catalog/fanagoriya_100_ottenkov_krasnogo_pino_nuar_krasnoe_suhoe_vyderzhannoe_135_12baf813ea.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_100_ottenkov_krasnogo_pino_nuar_krasnoe_suhoe_vyderzhannoe_135_12baf813ea.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=J96c6YOm6HY475sYERR%2Fe7j2DRg%3D&Expires=2105631332,1.2,4.0,3.0,2.5,брусника,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14,100 оттенков красного. Саперави,Красное,Темно-рубиновый,Кубань,Саперави,"В аромате тона ежевики, черники, тёмной вишни, оттенки специй. Вкус насыщенный, сбалансированный, с бархатными танинами.",Фанагория,fanagoriya_100_ottenkov_krasnogo_saperavi_krasnoe_suhoe_14_fa242e130a.webp,catalog/fanagoriya_100_ottenkov_krasnogo_saperavi_krasnoe_suhoe_14_fa242e130a.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_100_ottenkov_krasnogo_saperavi_krasnoe_suhoe_14_fa242e130a.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=R7%2FxyrGDUhyy4Uji2QWiqz2gbcs%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"вишня, ежевика",,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
fanagoriya-100-ottenkov-shardone-beloe-suhoe-14,100 оттенков. Шардоне,Белое,Соломенный,Кубань,Шардоне,"В аромате яблоко, груша, цитрус, лёгкие цветочные ноты. Вкус свежий, гармоничный, с минеральными нотами и цитрусовыми оттенками.",Фанагория,fanagoriya_100_ottenkov_shardone_beloe_suhoe_14_dd14e33b83.webp,catalog/fanagoriya_100_ottenkov_shardone_beloe_suhoe_14_dd14e33b83.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_100_ottenkov_shardone_beloe_suhoe_14_dd14e33b83.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=LJRtXiQKLvjXJvnYaZf6G8xQNiM%3D&Expires=2105631332,1.2,2.2,4.5,1.3,"яблоко, груша, минералы",минералы,Морепродукты: Свежие черноморские устрицы и гребешки; Рыба: Сибас или дорадо на гриле с травами
fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14,101 оттенок красного. Каберне,Красное,Тёмно-рубиновый,Кубань,Каберне Совиньон,"В аромате чёрная смородина, ежевика, слива, лёгкие древесные ноты. Вкус насыщенный, гармоничный, с округлыми танинами и пряными оттенками.",Фанагория,fanagoriya_101_ottenok_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_14_98c670a6a1.webp,catalog/fanagoriya_101_ottenok_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_14_98c670a6a1.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_101_ottenok_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_14_98c670a6a1.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=5rQEsA4znQ1joz3YGiKpcgkdyCg%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"ежевика, слива",слива,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135,101 оттенок красного. Пино нуар,Красное,Рубиновый,Кубань,Пино Нуар,"В аромате черника, малина, ежевика, корица, подлесок. Вкус освежающий, объемный.",Фанагория,fanagoriya_101_ottenok_krasnogo_pino_nuar_krasnoe_suhoe_135_62be6e1c10.webp,catalog/fanagoriya_101_ottenok_krasnogo_pino_nuar_krasnoe_suhoe_135_62be6e1c10.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_101_ottenok_krasnogo_pino_nuar_krasnoe_suhoe_135_62be6e1c10.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=Lo%2B1Rm8FIzmyj5FDCpkSmRpECn0%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"ежевика, малина, корица",,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14,101 оттенок красного. Саперави,Красное,Тёмно-рубиновый,Кубань,Саперави,"В аромате ежевика, чёрная вишня, специи, оттенки фиалки. Вкус глубокий, бархатный, с сочной ягодной структурой и лёгкой терпкостью.",Фанагория,fanagoriya_101_ottenok_krasnogo_saperavi_krasnoe_suhoe_14_4716c6d770.webp,catalog/fanagoriya_101_ottenok_krasnogo_saperavi_krasnoe_suhoe_14_4716c6d770.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_101_ottenok_krasnogo_saperavi_krasnoe_suhoe_14_4716c6d770.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=FFn02U4Cgl%2FQr015OUM9odpdGls%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"вишня, ежевика, фиалка",,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
